대분류,중분류,소분류,세분류(주요품목) ,발전단계,가치사슬
D. 전기 전자부품,D01. 반도체 · 통신 및 디스플레이 부품,D0104. 디스플레이용 세라믹 부품,유리일체형 터치센서 · 세라믹 페이스트 · 격벽 · 유전체 · 형광체 · 보호막 · 밀봉재,첨단,부품
D. 전기 전자부품,D02. 회로기판 및 세라믹 패키지,D0201. 회로용 세라믹 기판,알루미나기판 · 질화알루미나기판 · 질화규소기판 · 법랑기판 · HIC 기판 · 저온소결기판(LTCC) · 동회로기판 · 통신용 모듈 기판 · 차탑재용 기판 등,첨단,부품
D. 전기 전자부품,D02. 회로기판 및 세라믹 패키지,D0202. 세라믹 패키지,IC package · saw 패키지 · 광패키지 · HTCC 패키지 · 세라믹(알루미나 · AlN · SiC) 패키지,첨단,부품
D. 전기 전자부품,D02. 회로기판 및 세라믹 패키지,D0203. LED 패키지,유리밀봉재 · 색변환플레이트 · 형광체 · 기판,첨단,부품
D. 전기 전자부품,D02. 회로기판 및 세라믹 패키지,D0204. 방열소재,전자부품용방열판·필러(SiC · 다공질형태),첨단,부품
D. 전기 전자부품,D03. 콘덴서(캐패시터),D0301. 세라믹 유전체의 고정콘덴서,원판형세라믹콘덴서 · 원통형세라믹콘덴서 · 관통형세라믹콘덴서 · 적층세라믹콘덴서(MLCC),첨단,부품
D. 전기 전자부품,D03. 콘덴서(캐패시터),D0302. 탄탈륨 콘덴서,,첨단,부품
D. 전기 전자부품,D03. 콘덴서(캐패시터),D0303. 슈퍼 콘덴서,슈퍼캐패시터(콘덴서) · 전기이중층캐패시터(콘덴서),첨단,부품
D. 전기 전자부품,D03. 콘덴서(캐패시터),D0304. 가변식 콘덴서,가변식 콘덴서,첨단,부품
D. 전기 전자부품,D03. 콘덴서(캐패시터),D0305. 기타 콘덴서,반도체세라믹콘덴서 ·마이카콘덴서 ·전해콘덴서,첨단,부품
D. 전기 전자부품,D04. 저항기,D0401. 고정 저항기,탄소피막형 고정저항기 · 칩형 고정저항기 · 기타 고정저항기 · 전류스위치,첨단,부품
D. 전기 전자부품,D04. 저항기,D0402. 가변 저항시,탄소 가변저항기 · 기타 가변저항기,첨단,부품
D. 전기 전자부품,D04. 저항기,D0403. 서미스터,PTC 서미스터 · NTC 서미스터 · 고온용서미스터,첨단,부품
D. 전기 전자부품,D04. 저항기,D0404. 바리스터,피뢰소자 · 써지소자 · 칩바리스터 · 디스크바리스터,첨단,부품
D. 전기 전자부품,D04. 저항기,D0405. 저항기 부품,,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0501. 화학센서,가스센서(산소센서 · NOx · SOx · CO₂/CO · H₂ · 알코올센서) ,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0502. 물리센서,초전형 센서 · 모션센서,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0502. 물리센서,광파이버센서,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0502. 물리센서,산업용 압력(고압)센서 (비반도체형),첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0502. 물리센서,변위센서 · 가속도센서 · 신틸레이션카운터 · 동적압력분포센서 · GMR · TMR센서 · 습도센서 · 액츄에이터(초음파모터),첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0503. 기타 센서,생물학적 센서(바이오 센서) · 생화학적 센서,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0504. 압전소자,압전부저소자 · 압전착화소자 · STM 구동기구 · 세라믹발진자,첨단,부품
D. 전기 전자부품,D05. 세라믹센서 및 액츄에이터,D0504. 압전소자,초음파발생용 부품 · 초음파진동자(가습기 · 세척기 · 용착기) · 초음파노즐 · 압전진동자 · 압전스피커 · 압전단결정 · 압전컴포지트,첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0601. 이차전지용,2차전지 · 2차전지용 세라믹전극 · NaS전지용 부품 · Li전지 · Li전지용 전극(음극소재 · 양극소재) · Li폴리머 · 공기극전지 · 세라믹전해질,첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0602. 태양전지용,태양전지용 부품(CIGS · CdTe),첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0602. 태양전지용,태양전지용 기판 · 모듈,첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0603. 일차전지용,,첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0604. 연료전지용,연료전지 · 연료전지용 전극(양극 · 음극) 및 세라믹 맴브레인 · SOFC/MCFC(전해질 · 연료극 · 공기극) · 밀봉재,첨단,부품
D. 전기 전자부품,D06. 전지용부품,D0605. 기타,,첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0701. 페라이트자석 및 코아,페라이트 자석(플라스틱 마그네트),첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0701. 페라이트자석 및 코아,페라이트 코아,첨단,1차
D. 전기 전자부품,D07. 자성 부품,D0702. 초전도 부품,초전도부품(YBaCuO계 · BiSrCaCuO계 · LaBaCuO계 · LaSrCuO계 세라믹제품),첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0703. 영구자석 제품,영구자석(자동차모터용 자석 포함),첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0704. 자기기록용 매체,자기테이프 · 자기디스크 · 자기카드,첨단,응용
D. 전기 전자부품,D07. 자성 부품,D0705. 전자유도 코일 및 쵸크,파워라인용 전자석코일 · 쵸크코일 · 전자코일의 부품,첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0706. 페라이트를이용한전자파흡수체,전자파흡수타일,첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0707. 인덕터,인덕터(파워인덕터 · 칩비드 · 칩인덕터 · 인덕터 · 칩코일/복합소자/초크코일필터 등 신호라인용 인덕터 · 파워인덕터 · EMI필터) · 인덕터의 부품(GGG제품),첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0708. 페라이트 시트,무선 충전용 · NFC,첨단,부품
D. 전기 전자부품,D07. 자성 부품,D0709. 기타 자성부품,,첨단,부품
D. 전기 전자부품,D08. 광학,D0801. 광학렌즈 ,산업용 렌즈 · 카메라용 렌즈 · 특수용 렌즈(국방용 렌즈 · 항공우주용 렌즈) · 안경용 렌즈,첨단,부품
D. 전기 전자부품,D08. 광학,D0802. 투명세라믹,방탄유리 · 가로등용 전구 · 투광성 알루미나 · 이트륨 알루미늄가네트(YAG) · 마그네슘 알루미네이트 스피넬,첨단,부품
D. 전기 전자부품,D08. 광학,D0803. 광학요소부품,광학필터,첨단,부품
D. 전기 전자부품,D08. 광학,D0803. 광학요소부품,편광재료용 판,첨단,부품
D. 전기 전자부품,D08. 광학,D0803. 광학요소부품,기타 광학요소 관련품(투명도전막제품 · pellicle(박막) · LED용 형광물질),첨단,부품
D. 전기 전자부품,D08. 광학,D0803. 광학요소부품,기타 광학기기의 부품(굴절 · 간섭용부품 · 포토마스크),첨단,부품
D. 전기 전자부품,D08. 광학,D0803. 광학요소부품,광커넥터 · 세라믹 ferrule ,첨단,부품
D. 전기 전자부품,D08. 광학,D0804. 기타 광학부품,,첨단,부품
D. 전기 전자부품,D09. 기타,D0901. 카본부러쉬,,첨단,부품
D. 전기 전자부품,D09. 기타,D0902. 기타 전기용 탄소제품,전자파차폐용 · 전자관전극 스페이서 · 홀더 · IC용 수지몰드용 필러컴파운드 · 세라믹충전방열 시드 · 어레스터용 세라믹스 등,첨단,부품
D. 전기 전자부품,D09. 기타,D0903. 전극,카본전극 · 세라믹전극(RuO₂ · LaNiO₃ · SrRuO₃ · IrO₂ 등),첨단,부품
E. 기계 및 기타산업용 부품,E01. 수송 기계류부품,E0101. 자동차용 부품,터보차저로터 · 로커암 · 글로우플러그 · 타펫트(tapet) · 밸브 · 피스톤 · 피스톤핀 · 실린더라이너 · 포트라이너 ·,첨단,부품
E. 기계 및 기타산업용 부품,E01. 수송 기계류부품,E0101. 자동차용 부품,가스터빈부재(로터 · 스테터 외) · 스파크플러그 · 브레이크 라이닝(자동차부품과 결합한 제품),,
E. 기계 및 기타산업용 부품,E01. 수송 기계류부품,E0102. 우주 항공용 부품,항공기부재 · 로케트 · 우주선부재 · 고온용형 · 항공기 엔진 노즐용 내열세라믹제품 · 우주선 단열차폐제품 · 우주망원경용 세라믹플레이트 · 우주왕복선의 내열·단열 타일,첨단,부품
E. 기계 및 기타산업용 부품,E01. 수송 기계류부품,E0103. 기타 부품,미사일용 부품(미사일 레이돔(radome) · 미사일용 노즐) · 기차·전철용 브레이크 라이닝 · 기타수송기용 부품,첨단,부품
E. 기계 및 기타산업용 부품,E02. 원자력/발전용 부품,E0201. 원자력용 부품,원자로용 세라믹 부품 · 핵연료(우라늄 산화물) · 핵연료 피복재 · 원자력용 열교환기,첨단,부품
E. 기계 및 기타산업용 부품,E02. 원자력/발전용 부품,E0202.발전용부품(세라믹재에한함),발전용열교환기 및 부품,첨단,부품
E. 기계 및 기타산업용 부품,E02. 원자력/발전용 부품,E0202.발전용부품(세라믹재에한함),터빈 · 발전용 코팅 단열재 · 풍력발전용 베어링류 · 그외 기타 발전용 부품,첨단,부품
E. 기계 및 기타산업용 부품,E03. 반도체 · 디스플레이 및 LED 제조장비용 부품,E0301.반도체및디스플레이 제조장비용 부품(세라믹재에한함),써셉터(suscepter) · 히터 · 정전척 · 가스노즐 · 샤프트/튜브/돔/암 · 반도체세정용구 · 반응용기 · 웨이퍼(wafer)용 보트 · 튜브 · 식각용 부품 · 확산공정용 부품 · 반도체용 쿼츠(quartz)부품류 · 히터플레이트,첨단,부품
E. 기계 및 기타산업용 부품,E03. 반도체 · 디스플레이 및 LED 제조장비용 부품,E0302. LED 제조장비용 부품,써셉터(suscepter) · 트레이 · 기타부품,첨단,부품
E. 기계 및 기타산업용 부품,E03. 반도체 · 디스플레이 및 LED 제조장비용 부품,E0303. 기타,더미웨이퍼(dummy wafer) · 에지링(edge ring) · 마스크(mask) · 기타부품,첨단,부품
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0401. 절삭·굴삭공구,공작기계용 공구(세라믹 · 초경 · 다이아몬드 · 서멧 · CBN) · 굴삭용 공구(세라믹 · 초경),첨단,부품
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0401. 절삭·굴삭공구,세라믹 커터 · 절단톱,첨단,제품
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0402. 연마휠,연마휠,첨단,1차
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0403. 지석,휠지석 · 전착지석,전통,1차
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0404. 지립,페이스트 · CMP(CeO₂ · FeO₂ · Al₂O₃ · SiO₂ ·),첨단,1차
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0405. 기타 연마재,연마지 및 포 · (다이아몬드)와이어 · CBN 분말,첨단,1차
E. 기계 및 기타산업용 부품,E04. 공구 및 연마재,E0406. 기타공구,,첨단,부품
E. 기계 및 기타산업용 부품,E05. 내마모부품(세라믹재에한함),E0501.정밀기계제어부품용,공압실린더 및 공압액츄에이터,첨단,부품
E. 기계 및 기타산업용 부품,E05. 내마모부품(세라믹재에한함),E0501.정밀기계제어부품용,유압기기부품(축메카니컬실 · 베인 ·인펠러 · 정반 · 플렌지 · 변좌(弁座) · 밸브류 · 베어링류 · 정밀축(스핀축 · 소형모터축 등) · 브래스트노즐 · 워터쇼트노즐 · 슬라이드웨이 · 정반 · 마모패드 · 배관라이너 · 정밀 베어링 · 베어링용 세라믹볼(알루미나볼 · 지르코니아볼) · 기어 · 기어링 · 기타,첨단,부품
E. 기계 및 기타산업용 부품,E05. 내마모부품(세라믹재에한함),E0502.세라믹볼및라이닝재,분쇄매체(볼 · 비즈 등) · 라이너,첨단,부품
E. 기계 및 기타산업용 부품,E05. 내마모부품(세라믹재에한함),E0503. 섬유기기용 부품,사도 · 노즐 · 피스톤 실린더 · 커터 등,첨단,부품
E. 기계 및 기타산업용 부품,E05. 내마모부품(세라믹재에한함),E0504. 기타 내마모 부품,라이너 · 막자 · 막자사발 · 파쇄롤 · 마모성(분체 · 슬러리) 처리장치라이너 · 슈트라이너 · 성형가공형(압출 · 추출 · 선형프레스 · 판성형 등) 압연롤. 분체성형(프레스 · 압출 · 사출 · 스탬프 · 롤러 등)라이너 · 압출용 다이(Die) · 수도꼭지용 seal(수전용seal),첨단,부품
E. 기계 및 기타산업용 부품,E06. 친환경 세라믹 부품,E0601. 필터 ,화학공업용 필터 · 반도체가스용 필터 · 하수처리용 필터 · 정수용 필터 · 수처리용 필터 · 탈질촉매용 필터 · 자동차배기용 세라믹필터 · 선박용필터 · 소각로용 필터 · IGCC용 필터 · 기체처리용 필터 등 ,첨단,부품
E. 기계 및 기타산업용 부품,E06. 친환경 세라믹 부품,E0602. 촉매담체,광촉매 · 촉매부착 히터 · 촉매연소체 · 바이오프로텍트 생산용 담체 · 바이오리액터용 담체 · 방사선동위원소용 담체 · 산소고정용 담체 · 담지체 · 기타용 촉매 및 촉매담체,첨단,부품
E. 기계 및 기타산업용 부품,E06. 친환경 세라믹 부품,E0602. 촉매담체,자동차용 촉매담체(배기관용),첨단,부품
E. 기계 및 기타산업용 부품,E06. 친환경 세라믹 부품,E0603. 기타,흡착제(실리카겔 등) ·산업용탈취제,첨단,부품
E. 기계 및 기타산업용 부품,E07. 열적 세라믹 부품,E0701. 내열세라믹 부품,내화갑 · 내화판 · 로제 · 세라믹 롤러 · sagger(H-sagger · Box-sagger 등) · 산업용 열판 세라믹,첨단,부품
E. 기계 및 기타산업용 부품,E07. 열적 세라믹 부품,E0702. 발열용 부품,마루난방히터 · 프레임레스 히터용을 포함 · 반도체공정용 히터 · 점화히터 · 고데기용 히터 · 솔더용 히터 · 전기인두용 히터 · 전기로용 발열체(SiC · 몰리다이실리사이드) · 세라믹 후막 히터 · 커피머신용 히터,첨단,부품
E. 기계 및 기타산업용 부품,E07. 열적 세라믹 부품,E0703. 금속제조용 부품,제철제강 및 비철금속제조용 세라믹부품(롤러 · 다이(신선용 · 압출용 등) · 용강용 세라믹) ,첨단,부품
E. 기계 및 기타산업용 부품,E08. 방탄 세라믹 부품,E0801. 방탄용 부품,개인방탄복용 세라믹플레이트 · 병력이송차량용 방탄판 · 전차용 방탄판 · 항공기용 방탄판 ,첨단,부품
E. 기계 및 기타산업용 부품,E08. 방탄 세라믹 부품,E0802. 기타,,첨단,부품
