버전,기능/ 비기능,사용자,분류,요구 사항,세부 요구사항,"제약사항, 상세 내용 등",중요도,수용 여부,페이지 / 컴포넌트,작성일,작성자,변경일,요구사항 추적,래퍼런스
v.01,기능,기공소 전원,,스캔파일 오류 로그 조회하기,,,,FALSE,,26.06.04,신은지,,,
v.01,비기능,기공소 전원,,스캔파일 오류 리캡 내보내기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,스캔파일 등록하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,스캔파일 최신본 지정하기,,,,FALSE,,,,,,
,비기능,기공소 전원,,스캔파일 구버전 비활성화하기,,,,FALSE,,,,,,
v.01,비기능,기공소 전원,,최종본이 아닌 파일 사용 경고하기,,,,FALSE,,,,,,
v.01,기능,기공소 전원,,스캔파일 삭제하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,삭제된 스캔파일 복구하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,스캔파일 추가 업로드하기,,,,FALSE,,26.06.04,신은지,,,
v.01,비기능,기공소 전원,,의뢰서와 스캔파일 자동 매칭하기,,,,FALSE,,26.06.04,신은지,,,
v.01,기능,기공소 전원,,스캔파일 검색하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,스캔파일 필터링으로 검색하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,스캔파일 정렬하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,스캔파일 검증 오류 알림 확인 처리하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,스캔파일 검증 오류 해결 완료 처리하기,,,,FALSE,,26.06.04,,,,
v.01,비기능,기공소 전원,,가공 가능 여부 판단하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,가공 보류 케이스 조회하기,,,,FALSE,,26.06.04,,,,
,비기능,기공소 전원,,검증 결과 상태 변경하기,,,,FALSE,,,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소 전원,,치아라이브러리 조회하기,,,,FALSE,,26.06.04,이원영,,,
v.01,기능,기공소 전원,,치아라이브러리 불러오기,,,,FALSE,,26.06.04,이원영,,,
v.01,기능,기공소 전원,,치아라이브러리 삭제하기,,,,FALSE,,26.06.04,이원영,,,
v.01,기능,기공소 전원,,치아라이브러리 수정하기,,,,FALSE,,26.06.04,이원영,,,
v.01,기능,기공소 전원,,치아라이브러리 생성하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치아라이브러리 검색하기,,,,FALSE,,26.06.04,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소 전원,,재료 정보 등록하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,재료 정보 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,재료 정보 검색 하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,보철 정보 등록하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,보철 정보 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,보철 정보 검색하기,,,,FALSE,,26.06.04,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소/ 치과,,작업 상태 조회하기,"작업 상태:
- 접수 완료
- 의뢰서 확인 중
- 치과 확인 필요
- 스캔파일 확인 완료
- CAD 진행 중
- CAD 완료
- CAM 투입 전 검수
- 가공 가능
- 가공 보류
- 밀링 중
- 소결 중
- 후처리 중
- 출고 대기
- 출고 완료
- 리메이크",,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,작업 상태 수정(변경)하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,작업 생성하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,작업 삭제하기,,,,FALSE,,26.06.04,,,,
,기능,기공소/ 치과,,작업 검색하기,,,,FALSE,,,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소/ 치과,,요청 메세지 수신하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소/ 치과,,요청 메세지 발신하기,,,,FALSE,,26.06.04,,,,
v.01,비기능,기공소/ 치과,,새 요청 메세지 알람주기,,,,FALSE,,26.06.04,,,,
,비기능,기공소/ 치과,,메시지 AI 요약 정리하기,,,,FALSE,,,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소 소장,,치과 정보 등록하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과 정보 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과 정보 수정하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과별 의뢰서 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과별 케이스 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과별 오류 이력 조회하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과 특이사항 작성하기,,,,FALSE,,26.06.04,,,,
v.01,기능,기공소 전원,,치과 특이사항 수정하기,,,,FALSE,,26.06.04,,,,
,,,,,,,,FALSE,,,,,,
v.01,기능,기공소 소장,,리메이크 케이스 등록하기,,,,FALSE,,,,,,
v.01,기능,기공소 소장,,리메이크 사유 생성하기,,,,FALSE,,,,,,
v.01,기능,기공소/ 치과,,리메이크 케이스 조회하기,,,,FALSE,,,,,,
v.01,비기능,기공소 전원,,리메이크 원인 분류하기,"원인 분류:
- 스캔파일 누락
- 스캐파일 중복
- 케이스 혼입
- 치식 불일치
- 쉐이드 오류
- 재료 선택 오류
- 임플란트/어버트먼트 정보 오류
- 치과 측 수정 요청
- 기공소 제작 오류
- 원인 불명",,,FALSE,,,,,,
v.01,기능,기공소 전원,,리메이크 발생 전 검증 이력 조회하기,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
v.01,,,,,,,,FALSE,,,,,,
